State,Voter Turnout,Total Ballots,Year,Voting-Eligible Population (VEP),Voting-Age Population (VAP), Non-citizen,Prison,Probation,Parole,Total Ineligible Felon
Arkansas,38.9,780409,2006,2004193,2130080,3.3,13729,31508,16666,46149
California,41.2,8899059,2006,21582217,26739781,18.9,175512,0,111744,287256
Colorado,48.1,1586105,2006,3297308,3569901,8.0,22481,0,8196,30677
Connecticut,47.7,1162391,2006,2437559,2683538,7.9,20566,0,2571,23137
Delaware,42.9,258053,2006,601341,659410,5.3,7206,16958,600,16285
District of Columbia,28.7,122356,2006,426612,466827,9.7,0,0,0,0
Florida,40.1,4884544,2006,12187858,14211669,11.8,92969,272977,4785,234243
Georgia,35.1,2143845,2006,6115331,6799654,7.4,52792,422790,22851,287038
Hawaii,38.4,348988,2006,908925,1012975,8.1,5967,0,0,5967
Idaho,46.2,458927,2006,993010,1072895,4.4,7124,48609,2482,33911
Illinois,41.4,3586292,2006,8667453,9483856,9.2,45106,0,0,45106
Indiana,37.7,1719351,2006,4559294,4743856,3.1,26091,0,0,26091
Iowa,49.2,1071509,2006,2178322,2267991,2.8,8875,22622,3560,23746
Kansas,44.3,864083,2006,1948850,2062668,4.7,8816,15518,4666,21241
Kentucky,44.2,1370062,2006,3100828,3218000,1.9,20000,41162,10162,50743
Louisiana,31.4,954896,2006,3043573,3239317,2.0,37012,38057,24072,80113
Maine,,,2006,1016287,1037200,1.7,0,0,0,0
Maryland,47.2,1809237,2006,3833349,4261205,7.9,22945,75698,14271,75065
Massachusetts,49.3,2243835,2006,4552794,4970780,8.7,11032,0,0,11032
Michigan,52.8,3852008,2006,7292624,7532918,3.6,51577,0,0,51577
Minnesota,60.5,2217552,2006,3667707,3896561,4.2,9108,127289,4007,76760
Mississippi,,,2006,2077420,2154112,1.3,21068,24107,1970,35092
Missouri,51.2,2178278,2006,4253541,4427266,2.2,30167,54963,18374,76023
Montana,57.1,411061,2006,720447,734669,1.0,3572,0,0,3572
Nebraska,48.8,610499,2006,1251027,1325932,4.3,4407,18731,662,14435
Nevada,37.1,586274,2006,1579222,1907976,14.4,12901,13208,3518,23023
New Hampshire,42.9,418550,2006,975281,1006234,3.4,2805,0,0,2805
New Jersey,40.6,2315643,2006,5701033,6565183,12.0,27371,132636,13874,107563
New Mexico,43.1,568597,2006,1320285,1464560,8.0,6639,16493,2831,17717
New York,36.5,4703830,2006,12878632,14665626,12.4,63315,0,53533,116848
North Carolina,32.5,2036451,2006,6264630,6799585,5.8,37460,110419,3101,95771
North Dakota,45.4,220479,2006,486142,503647,1.5,1363,0,0,1363
Ohio,49.5,4184072,2006,8461211,8687609,2.2,49166,0,0,49166
Oklahoma,,,2006,2547224,2709819,3.9,26243,27415,4329,44280
Oregon,53.2,1399650,2006,2628937,2829482,7.3,13707,0,0,13707
Pennsylvania,,,2006,9283762,9680466,3.0,44397,0,0,44397
Rhode Island,52.1,392882,2006,754219,824887,8.1,3996,0,0,3996
South Carolina,35.4,1117311,2006,3152046,3332190,3.2,23616,38353,3072,45865
South Dakota,58.8,341105,2006,580592,589178,1.4,3359,0,2444,5803
Tennessee,42.1,1868363,2006,4433921,4641909,3.1,25745,52558,8630,60654
Texas,,,2006,14255313,17029802,13.4,172116,431967,101916,490016
Utah,35.0,582561,2006,1664323,1752158,7.1,6430,0,0,6430
Vermont,55.0,263025,2006,478247,487141,2.0,0,0,0,0
Virginia,44.5,2398589,2006,5385522,5867219,6.7,36688,48144,4499,65259
Washington,47.3,2085074,2006,4403981,4861001,8.0,17561,108076,11568,83167
West Virginia,33.8,473014,2006,1401490,1439052,0.7,5733,7668,1416,10983
Wisconsin,53.7,2183155,2006,4064432,4240696,2.9,23431,55806,15907,67241
Wyoming,51.8,196217,2006,379127,400187,2.0,2114,5225,609,5336
United States,62.2,132609063,2008,213313508,230872030,8.4,1605448,2451085,627680,3144831
Alabama,61.0,2105622,2008,3454510,3595708,2.2,30508,53252,8042,61155
Alaska,68.3,327341,2008,479429,507645,3.7,5014,6708,1732,9234
Arizona,57.4,2320851,2008,4046075,4673718,11.6,39589,82232,7534,84472
Arkansas,52.9,1095958,2008,2071563,2174846,2.9,14716,31169,19908,40255
California,61.7,13743177,2008,22261504,27411094,17.9,173670,0,120753,234047
Colorado,71.6,2422236,2008,3382959,3708955,8.0,23274,0,11654,29101
Connecticut,,,2008,2471082,2725917,8.5,20661,0,2328,21825
Delaware,65.8,413562,2008,628200,680493,5.3,7075,17216,551,15959
District of Columbia,61.7,266871,2008,432566,481971,10.3,0,0,0,0
Florida,66.6,8453743,2008,12687407,14558436,11.2,102388,279760,4528,244532
Georgia,62.7,3940705,2008,6281872,7063638,7.3,52719,397081,23448,262984
Hawaii,49.0,456064,2008,930067,1036088,9.7,5955,0,0,5955
Idaho,64.8,667506,2008,1029416,1117842,4.9,7290,49513,3361,33727
Illinois,64.3,5578195,2008,8681138,9615700,9.2,45474,0,0,45474
Indiana,60.3,2805986,2008,4653019,4826231,3.0,28322,0,0,28322
Iowa,69.7,1543662,2008,2216094,2298515,2.6,8766,22958,3159,21825
Kansas,63.5,1264208,2008,1991759,2100084,4.2,8539,16263,4958,19150
Kentucky,59.0,1858578,2008,3152629,3277617,2.2,21706,51035,12277,53362
Louisiana,61.8,1979852,2008,3205794,3342279,2.0,38381,40025,24636,70712
Maine,71.8,744456,2008,1036242,1049816,1.3,0,0,0,0
Maryland,67.8,2661905,2008,3925117,4342850,7.8,23324,96360,13220,78114
Massachusetts,67.3,3102995,2008,4612550,5058035,8.6,11408,0,0,11408
Michigan,69.7,5039080,2008,7229512,7528460,3.3,48738,0,0,48738
Minnesota,78.1,2921147,2008,3740142,3975974,4.0,9910,127627,5081,76264
Mississippi,,,2008,2113347,2190402,1.9,22754,22267,2922,35349
Missouri,68.2,2950504,2008,4327572,4507688,2.5,30186,57360,20683,69208
Montana,67.1,497599,2008,741853,755384,1.3,3545,0,0,3545
Nebraska,63.7,811923,2008,1274719,1348048,4.3,4520,19606,846,14746
Nevada,57.2,970019,2008,1696831,2000277,14.1,12743,13337,3908,21366
New Hampshire,72.5,719643,2008,992226,1021787,2.6,2702,0,0,2702
New Jersey,67.7,3910220,2008,5776527,6651284,11.7,25953,128737,15849,98246
New Mexico,61.2,833365,2008,1362629,1505830,8.3,6402,20883,3724,18706
New York,59.6,7721718,2008,12948969,14876971,12.4,60347,0,52225,86460
North Carolina,66.1,4354571,2008,6584302,7096503,5.9,39482,109678,3409,96026
North Dakota,63.6,321133,2008,504762,512768,1.3,1452,0,0,1452
Ohio,67.8,5773777,2008,8513079,8757453,2.2,51686,0,0,51686
Oklahoma,56.3,1474694,2008,2619121,2770219,4.0,25864,27940,3073,41371
Oregon,68.3,1845251,2008,2700327,2916246,6.9,14167,0,0,14167
Pennsylvania,64.2,6071357,2008,9457942,9813664,3.1,49215,0,0,49215
Rhode Island,62.3,475428,2008,763608,825786,7.0,4045,0,0,4045
South Carolina,58.2,1927153,2008,3311044,3473488,3.4,24326,41254,1947,45927
South Dakota,65.6,387449,2008,590720,602539,1.2,3342,0,2720,4702
Tennessee,57.4,2618238,2008,4563192,4771926,3.1,27228,58109,10578,61572
Texas,,,2008,14929810,17756112,13.5,172506,427080,102921,437507
Utah,57.1,971185,2008,1700286,1840087,7.2,6552,0,0,6552
Vermont,67.7,326822,2008,482677,492610,2.0,0,0,0,0
Virginia,67.6,3753059,2008,5555415,6022123,6.6,38276,53614,4471,67319
Washington,67.3,3071587,2008,4561163,5032960,7.8,17926,113134,11768,80377
West Virginia,51.2,731691,2008,1430439,1453045,0.8,6059,8283,2005,11203
Wisconsin,72.7,2997086,2008,4120694,4306876,3.0,23379,50418,18105,57641
Wyoming,63.1,256035,2008,405732,418040,1.7,2084,5438,727,5167
United States,41.8,90912015,2010,217551109,236022989,8.5,1512225,1321051,629644,3244035
Alabama,43.3,1503232,2010,3472582,3661784,2.8,31587,50622,9006,86889
Alaska,52.9,261128,2010,493764,528744,4.0,5576,6959,2089,13601
Arizona,41.6,1750840,2010,4209544,4807398,10.3,35368,52316,7993,96443
Arkansas,37.9,789773,2010,2081156,2216171,3.7,16047,26995,21106,53752
California,45.9,10529134,2010,22946053,28167234,17.7,146412,0,105133,217629
Colorado,51.7,1828323,2010,3533054,3843619,7.3,21559,0,11014,28322
Connecticut,45.9,1153872,2010,2512981,2765843,8.4,18553,0,2894,20768
Delaware,49.0,316754,2010,646969,696940,5.5,6307,4448,560,11326
District of Columbia,29.6,135846,2010,458619,506765,9.5,0,0,0,0
Florida,42.2,5473787,2010,12961184,14916066,11.2,97944,165760,4093,272113
Georgia,40.6,2623035,2010,6464845,7255919,7.4,54710,185286,25091,254264
Hawaii,40.3,386302,2010,959531,1062593,9.1,5813,0,0,5912
Idaho,42.9,459079,2010,1069446,1147210,4.7,7268,13721,3957,23131
Illinois,43.1,3792770,2010,8798829,9735944,9.1,46314,0,0,48418
Indiana,38.1,1791832,2010,4697111,4896656,3.5,27481,0,0,28028
Iowa,50.7,1133429,2010,2234516,2328262,3.2,9276,8862,3197,19916
Kansas,42.6,857658,2010,2011497,2137815,5.2,8741,3704,5063,15287
Kentucky,44.3,1417995,2010,3198093,3332204,2.4,20385,25688,14628,53546
Louisiana,40.0,1298649,2010,3249524,3438247,2.7,39335,42599,26202,95145
Maine,55.9,580584,2010,1038201,1055605,1.6,0,0,0,0
Maryland,46.7,1868179,2010,4001034,4449617,8.8,21992,26164,13195,55407
Massachusetts,49.4,2319963,2010,4693670,5152976,8.7,10429,0,0,11312
Michigan,45.1,3268217,2010,7245281,7555742,3.5,43499,0,0,44113
Minnesota,55.8,2123369,2010,3802677,4041199,4.5,9281,42661,5807,55361
Mississippi,,,2010,2129334,2220094,1.8,21067,26793,6434,51077
Missouri,45.7,1997271,2010,4366435,4581260,2.6,30178,54916,19421,95250
Montana,48.4,367096,2010,758653,770601,1.1,3706,0,0,3716
Nebraska,38.7,503514,2010,1301483,1375023,4.7,4324,4080,941,9138
Nevada,41.4,723515,2010,1747288,2046400,13.5,12653,8067,4964,23202
New Hampshire,46.1,461423,2010,999918,1033023,2.9,2694,0,0,2761
New Jersey,37.7,2200974,2010,5834037,6750869,12.2,25007,57517,15563,90306
New Mexico,44.7,630013,2010,1408872,1552212,7.7,6541,14855,3146,23087
New York,36.3,4763899,2010,13135048,15111583,12.5,50668,0,48542,80927
North Carolina,39.8,2700706,2010,6785463,7310093,6.1,38341,36740,3621,78667
North Dakota,46.6,241039,2010,516974,527497,1.7,1480,0,0,1487
Ohio,46.2,3956028,2010,8571952,8826908,2.3,51116,0,0,51712
Oklahoma,39.1,1043507,2010,2666767,2839030,4.4,25893,20601,2627,48167
Oregon,53.9,1487210,2010,2760607,2984806,7.0,12262,0,0,14014
Pennsylvania,42.4,4055336,2010,9565822,9946290,3.3,50116,0,0,51264
Rhode Island,45.4,346357,2010,763534,829913,7.6,3357,0,0,3357
South Carolina,40.3,1365480,2010,3388417,3571250,3.8,23074,21144,6412,47928
South Dakota,53.9,323410,2010,599507,616113,1.9,3373,0,2843,4856
Tennessee,35.1,1620542,2010,4622919,4878724,3.5,27213,52178,12157,85708
Texas,32.7,5066957,2010,15514007,18487369,13.5,164507,247136,104763,473167
Utah,36.8,653274,2010,1772934,1914974,7.0,6536,0,0,6807
Vermont,49.8,243617,2010,488942,498254,1.9,0,0,0,0
Virginia,39.1,2214505,2010,5660589,6194717,7.1,36020,56654,2624,95376
Washington,54.3,2565589,2010,4724350,5190736,8.3,17331,15452,6956,37165
West Virginia,37.2,536493,2010,1442003,1468812,0.9,6673,6650,1796,14229
Wisconsin,52.4,2185021,2010,4172130,4365214,3.2,22724,22602,19572,55112
Wyoming,46.0,190822,2010,414536,430673,2.4,2059,3231,682,5684
United States,58.6,130292355,2012,222474111,240957993,8.4,1473412,2342582,637410,3352390
Alabama,,,2012,3539217,3707440,2.6,32232,57993,8616,71584
Alaska,58.9,301694,2012,511792,543763,3.8,5633,7173,1882,11317
Arizona,53.0,2323579,2012,4387900,4959270,9.9,35188,72452,7460,81048
Arkansas,51.1,1078548,2012,2109847,2242740,3.5,14471,30122,23372,53808
California,55.7,13202158,2012,23681837,28913129,17.4,119455,0,89287,208742
Colorado,70.6,2596173,2012,3675871,3981208,6.9,18807,0,11458,30265
Connecticut,61.4,1560640,2012,2543202,2801375,8.5,16935,0,2793,19728
Delaware,,,2012,663967,715708,5.1,6610,15641,601,15501
District of Columbia,61.6,294254,2012,477582,528848,9.7,0,0,0,0
Florida,63.3,8538264,2012,13495057,15380947,10.8,91954,240869,4538,224153
Georgia,59.3,3919355,2012,6606607,7452696,7.2,52737,442061,24761,311790
Hawaii,44.5,437159,2012,982902,1088335,9.2,5544,0,0,5544
Idaho,61.0,666290,2012,1091410,1173727,4.6,7985,31606,3848,28584
Illinois,59.3,5279752,2012,8899143,9827043,8.9,49348,0,0,49348
Indiana,56.0,2663368,2012,4755291,4960376,3.6,28266,0,0,28266
Iowa,70.6,1589951,2012,2251748,2356209,3.2,8470,29333,5151,29167
Kansas,58.2,1182771,2012,2030686,2162442,5.0,9346,17021,5126,23493
Kentucky,56.2,1815843,2012,3229185,3368684,2.2,21863,54511,14419,65173
Louisiana,60.8,2014548,2012,3311626,3495847,2.7,40047,41298,28946,90881
Maine,69.3,724758,2012,1046008,1064779,1.8,0,0,0,0
Maryland,67.3,2734062,2012,4063582,4553853,8.9,20871,96640,13195,85285
Massachusetts,66.2,3184196,2012,4809675,5263550,8.4,10283,0,0,10283
Michigan,65.4,4780701,2012,7312725,7625576,3.5,43019,0,0,43019
Minnesota,76.4,2950780,2012,3861598,4114820,4.4,9383,108157,6006,72712
Mississippi,,,2012,2166825,2246931,1.5,22305,30768,6804,45416
Missouri,,,2012,4432957,4628500,2.5,30714,55470,20672,80785
Montana,63.5,491966,2012,774476,785454,0.9,3592,0,0,3592
Nebraska,61.1,804245,2012,1316915,1396507,4.7,4466,14260,1383,13407
Nevada,56.5,1016664,2012,1800969,2105976,13.3,12883,11321,5379,24262
New Hampshire,70.9,718700,2012,1013420,1047978,3.0,2672,0,0,2672
New Jersey,62.2,3683638,2012,5918182,6847503,12.1,21759,114886,14987,97636
New Mexico,54.8,786522,2012,1436363,1573400,7.3,6553,21381,5078,22963
New York,53.5,7128852,2012,13324107,15344671,12.5,49889,0,46222,96111
North Carolina,65.4,4542488,2012,6947954,7496980,6.1,35567,96070,4359,90843
North Dakota,60.4,325564,2012,539164,549955,1.7,1500,0,0,1500
Ohio,65.1,5632423,2012,8649495,8896930,2.2,50313,0,0,50313
Oklahoma,,,2012,2713268,2885093,4.5,25225,25506,2310,41053
Oregon,64.2,1820507,2012,2836101,3050747,6.6,13607,0,0,13607
Pennsylvania,,,2012,9651432,10037099,3.3,50054,0,0,50054
Rhode Island,,,2012,768918,834983,7.5,3249,0,0,3249
South Carolina,56.8,1981516,2012,3486838,3662322,3.5,21895,34945,6116,46532
South Dakota,60.1,368270,2012,613190,631472,1.9,3574,0,2761,6335
Tennessee,52.3,2479733,2012,4736084,4976284,3.3,28135,64430,13138,75421
Texas,,,2012,16119973,19185395,13.5,157564,405473,112288,484753
Utah,56.1,1028786,2012,1833339,1978956,7.0,6611,0,0,6611
Vermont,61.2,301793,2012,493355,502242,1.8,0,0,0,0
Virginia,66.6,3888186,2012,5834676,6348827,7.1,36425,52956,1983,66475
Washington,65.8,3172939,2012,4822060,5329782,8.2,16355,88339,8895,72070
