State,Voter Turnout,Total Ballots,Year,Voting-Eligible Population (VEP),Voting-Age Population (VAP), Non-citizen,Prison,Probation,Parole,Total Ineligible Felon
Wisconsin,75.3,3310000,2020,4395551,4614661,3.2,23574,42909,21015,71193
Wyoming,65.3,278503,2020,426246,442682,2.2,2488,5383,934,6759
United States,46.2,112030874,2022,242690810,261673203,7.5,1157707,1145315,340972,2643994
Alabama*,37.3,1424087,2022,3820009,3977770,2.3,25328,32711,8245,66284
Alaska,50.2,267047,2022,531448,558308,3.5,4578,1682,1003,7263
Arizona,49.3,2592313,2022,5257070,5806140,7.9,34997,50333,6887,92217
Arkansas,41.5,914227,2022,2202252,2357190,3.6,15850,27511,25852,69213
California,42.9,11146610,2022,25994715,30542685,14.6,97328,0,0,97328
Colorado,58.3,2540666,2022,4357176,4642930,5.8,14990,0,0,14990
Connecticut,48.6,1297811,2022,2672164,2901604,7.6,9297,0,0,9297
Delaware,42.8,325632,2022,761497,815329,5.1,4653,7004,373,12030
District of Columbia,40.6,205774,2022,506405,548366,7.7,0,0,0,0
Florida,48.1,7796916,2022,16197278,18100676,9.4,75977,123920,4280,204177
Georgia,51.9,3964926,2022,7644125,8445249,5.9,44796,235589,19447,299832
Hawaii,40.5,423443,2022,1046736,1144775,8.2,4097,0,0,4097
Idaho*,42.6,595350,2022,1397732,1490206,4.0,7996,18918,5967,32881
Illinois,45.8,4144125,2022,9048164,9859786,7.9,28582,0,0,28582
Indiana,37.2,1880755,2022,5061894,5277826,3.6,23458,0,0,23458
Iowa,51.9,1230417,2022,2372595,2482470,3.1,8128,17139,7261,32528
Kansas*,47.6,1008998,2022,2121246,2251251,4.7,8477,10953,5428,24858
Kentucky,44.8,1502550,2022,3352567,3512486,2.5,18433,38267,14429,71129
Louisiana,42.0,1410466,2022,3355031,3524363,2.9,26851,19250,21566,67667
Maine,60.8,680909,2022,1119461,1143143,1.9,0,0,0,0
Maryland,45.8,2031635,2022,4434258,4823486,8.1,14918,0,0,14918
Massachusetts,48.8,2511461,2022,5141977,5651857,8.9,5993,0,0,5993
Michigan,58.9,4500400,2022,7640677,7933413,3.3,33246,0,0,33246
Minnesota,60.4,2526646,2022,4181894,4434088,4.0,7681,58825,7359,73865
Mississippi*,32.5,709100,2022,2183828,2263618,1.4,17569,20027,10510,48106
Missouri*,49.6,2304250,2022,4642509,4822855,2.3,22890,26737,20729,70356
Montana,53.2,468326,2022,879710,895752,1.4,3910,0,0,3910
Nebraska,48.4,682716,2022,1409798,1494725,4.7,5071,7903,1156,14130
Nevada,45.8,1023617,2022,2232999,2502244,10.3,10455,0,0,10455
New Hampshire,56.3,626931,2022,1113547,1145537,2.6,2158,0,0,2158
New Jersey,41.0,2645539,2022,6447094,7275453,11.2,11896,0,0,11896
New Mexico,46.3,714754,2022,1542457,1657556,6.0,5377,8061,2725,16163
New York,42.5,5962278,2022,14026187,15676287,10.3,32574,0,0,32574
North Carolina,47.5,3790202,2022,7972970,8455572,5.4,28406,0,0,28406
North Dakota,41.7,242566,2022,581570,598899,2.7,1384,0,0,1384
Ohio,47.1,4201368,2022,8921202,9199881,2.5,44608,0,0,44608
Oklahoma*,39.6,1153284,2022,2913333,3080502,4.1,22071,15889,2237,40197
Oregon,62.3,1997689,2022,3208133,3409264,5.5,12753,0,0,12753
Pennsylvania*,54.4,5410022,2022,9953327,10366708,3.6,38938,0,0,38938
Rhode Island*,43.6,361449,2022,828495,890835,6.7,2227,0,0,2227
South Carolina,42.8,1718626,2022,4018588,4195145,3.3,15787,18208,4638,38633
South Dakota*,53.1,354670,2022,668380,695896,2.2,3176,5210,3673,12059
Tennessee*,33.3,1756397,2022,5270397,5539421,3.5,22205,41780,12407,76392
Texas*,41.8,8151590,2022,19499000,22746809,12.2,128653,230704,110437,469794
Utah,46.8,1084634,2022,2317746,2468679,5.9,5249,0,0,5249
Vermont,56.0,291955,2022,521758,533545,2.0,0,0,0,0
Virginia,47.6,3021956,2022,6348891,6836463,6.0,30620,44353,2017,76990
Washington,55.3,3067686,2022,5543001,6164761,8.8,15056,49805,14536,79397
West Virginia,35.4,494753,2022,1396169,1423003,0.9,6031,4308,3682,14021
Wisconsin*,59.8,2673154,2022,4467396,4655496,3.0,19846,26486,23174,69506
Wyoming,45.6,198198,2022,434797,452896,2.5,2034,3745,954,6733
