State,Turnout, VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP), Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,Year
Alabama,43.3,43.0,40.8,1503232,1494273,3472582,3661784,2.8,31587,50622,9006,86889,,2010
Alaska,52.9,51.9,48.5,261128,256192,493764,528744,4.0,5576,6959,2089,13601,,2010
Arizona,41.6,41.0,35.9,1750840,1727791,4209544,4807398,10.3,35368,52316,7993,96443,,2010
Arkansas,37.9,37.5,35.3,789773,781333,2081156,2216171,3.7,16047,26995,21106,53752,,2010
California,45.9,44.0,35.8,10529134,10095485,22946053,28167234,17.7,146412,0,105133,217629,,2010
Colorado,51.7,50.6,46.5,1828323,1787730,3533054,3843619,7.3,21559,0,11014,28322,,2010
Connecticut,45.9,45.9,41.7,1153872,1153115,2512981,2765843,8.4,18553,0,2894,20768,,2010
Delaware,49.0,47.5,44.1,316754,307402,646969,696940,5.5,6307,4448,560,11326,,2010
District of Columbia,29.6,28.9,26.2,135846,132656,458619,506765,9.5,0,0,0,0,,2010
Florida,42.2,41.7,36.3,5473787,5411106,12961184,14916066,11.2,97944,165760,4093,272113,,2010
Georgia,40.6,39.8,35.5,2623035,2576161,6464845,7255919,7.4,54710,185286,25091,254264,,2010
Hawaii,40.3,39.9,36.0,386302,382563,959531,1062593,9.1,5813,0,0,5912,,2010
Idaho,42.9,42.3,39.4,459079,452535,1069446,1147210,4.7,7268,13721,3957,23131,,2010
Illinois,43.1,42.4,38.3,3792770,3729989,8798829,9735944,9.1,46314,0,0,48418,,2010
Indiana,38.1,37.1,35.6,1791832,1744481,4697111,4896656,3.5,27481,0,0,28028,,2010
Iowa,50.7,49.9,47.9,1133429,1116063,2234516,2328262,3.2,9276,8862,3197,19916,,2010
Kansas,42.6,41.7,39.2,857658,838790,2011497,2137815,5.2,8741,3704,5063,15287,,2010
Kentucky,44.3,42.4,40.7,1417995,1356468,3198093,3332204,2.4,20385,25688,14628,53546,,2010
Louisiana,40.0,38.9,36.8,1298649,1264994,3249524,3438247,2.7,39335,42599,26202,95145,,2010
Maine,55.9,55.2,54.3,580584,572766,1038201,1055605,1.6,0,0,0,0,,2010
Maryland,46.7,46.4,41.8,1868179,1857880,4001034,4449617,8.8,21992,26164,13195,55407,,2010
Massachusetts,49.4,48.9,44.6,2319963,2297039,4693670,5152976,8.7,10429,0,0,11312,,2010
Michigan,45.1,44.5,42.7,3268217,3226088,7245281,7555742,3.5,43499,0,0,44113,,2010
Minnesota,55.8,55.4,52.1,2123369,2107021,3802677,4041199,4.5,9281,42661,5807,55361,,2010
Mississippi,,37.0,35.5,,788549,2129334,2220094,1.8,21067,26793,6434,51077,,2010
Missouri,45.7,44.5,42.4,1997271,1943899,4366435,4581260,2.6,30178,54916,19421,95250,,2010
Montana,48.4,47.5,46.8,367096,360341,758653,770601,1.1,3706,0,0,3716,,2010
Nebraska,38.7,37.5,35.5,503514,487988,1301483,1375023,4.7,4324,4080,941,9138,,2010
Nevada,41.4,41.3,35.3,723515,721404,1747288,2046400,13.5,12653,8067,4964,23202,,2010
New Hampshire,46.1,45.7,44.2,461423,456588,999918,1033023,2.9,2694,0,0,2761,,2010
New Jersey,37.7,36.4,31.4,2200974,2121584,5834037,6750869,12.2,25007,57517,15563,90306,,2010
New Mexico,44.7,42.8,38.8,630013,602827,1408872,1552212,7.7,6541,14855,3146,23087,,2010
New York,36.3,35.5,30.8,4763899,4658586,13135048,15111583,12.5,50668,0,48542,80927,,2010
North Carolina,39.8,39.2,36.4,2700706,2660079,6785463,7310093,6.1,38341,36740,3621,78667,,2010
North Dakota,46.6,46.2,45.3,241039,238812,516974,527497,1.7,1480,0,0,1487,,2010
Ohio,46.2,44.9,43.6,3956028,3852453,8571952,8826908,2.3,51116,0,0,51712,,2010
Oklahoma,39.1,38.8,36.4,1043507,1034767,2666767,2839030,4.4,25893,20601,2627,48167,,2010
Oregon,53.9,52.7,48.7,1487210,1453548,2760607,2984806,7.0,12262,0,0,14014,,2010
Pennsylvania,42.4,41.7,40.1,4055336,3987551,9565822,9946290,3.3,50116,0,0,51264,,2010
Rhode Island,45.4,44.8,41.2,346357,342290,763534,829913,7.6,3357,0,0,3357,,2010
South Carolina,40.3,39.7,37.6,1365480,1344198,3388417,3571250,3.8,23074,21144,6412,47928,,2010
South Dakota,53.9,52.9,51.5,323410,317083,599507,616113,1.9,3373,0,2843,4856,,2010
Tennessee,35.1,34.6,32.8,1620542,1601549,4622919,4878724,3.5,27213,52178,12157,85708,,2010
Texas,32.7,32.1,26.9,5066957,4979870,15514007,18487369,13.5,164507,247136,104763,473167,,2010
Utah,36.8,36.3,33.6,653274,643307,1772934,1914974,7.0,6536,0,0,6807,,2010
Vermont,49.8,49.4,48.5,243617,241605,488942,498254,1.9,0,0,0,0,,2010
Virginia,39.1,38.7,35.4,2214505,2189841,5660589,6194717,7.1,36020,56654,2624,95376,,2010
Washington,54.3,53.2,48.4,2565589,2511094,4724350,5190736,8.3,17331,15452,6956,37165,,2010
West Virginia,37.2,36.8,36.1,536493,529948,1442003,1468812,0.9,6673,6650,1796,14229,,2010
Wisconsin,52.4,52.0,49.7,2185021,2171331,4172130,4365214,3.2,22724,22602,19572,55112,,2010
Wyoming,46.0,45.5,43.8,190822,188463,414536,430673,2.4,2059,3231,682,5684,,2010
United States,58.6,58.0,53.6,130292355,129070906,222474111,240957993,8.4,1473412,2342582,637410,3352390,5127418,2012
Alabama,,58.6,56.0,,2074338,3539217,3707440,2.6,32232,57993,8616,71584,,2012
Alaska,58.9,58.7,55.3,301694,300495,511792,543763,3.8,5633,7173,1882,11317,,2012
Arizona,53.0,52.6,46.5,2323579,2306559,4387900,4959270,9.9,35188,72452,7460,81048,,2012
Arkansas,51.1,50.7,47.7,1078548,1069468,2109847,2242740,3.5,14471,30122,23372,53808,,2012
California,55.7,55.1,45.1,13202158,13038547,23681837,28913129,17.4,119455,0,89287,208742,,2012
Colorado,70.6,69.9,64.5,2596173,2569522,3675871,3981208,6.9,18807,0,11458,30265,,2012
Connecticut,61.4,61.3,55.6,1560640,1558960,2543202,2801375,8.5,16935,0,2793,19728,,2012
Delaware,,62.3,57.8,,413921,663967,715708,5.1,6610,15641,601,15501,,2012
District of Columbia,61.6,61.5,55.5,294254,293764,477582,528848,9.7,0,0,0,0,,2012
Florida,63.3,62.8,55.1,8538264,8474179,13495057,15380947,10.8,91954,240869,4538,224153,,2012
Georgia,59.3,59.0,52.3,3919355,3900050,6606607,7452696,7.2,52737,442061,24761,311790,,2012
Hawaii,44.5,44.2,39.9,437159,434697,982902,1088335,9.2,5544,0,0,5544,,2012
Idaho,61.0,59.8,55.6,666290,652274,1091410,1173727,4.6,7985,31606,3848,28584,,2012
Illinois,59.3,58.9,53.3,5279752,5242014,8899143,9827043,8.9,49348,0,0,49348,,2012
Indiana,56.0,55.2,52.9,2663368,2624534,4755291,4960376,3.6,28266,0,0,28266,,2012
Iowa,70.6,70.3,67.1,1589951,1582180,2251748,2356209,3.2,8470,29333,5151,29167,,2012
Kansas,58.2,56.9,53.5,1182771,1156254,2030686,2162442,5.0,9346,17021,5126,23493,,2012
Kentucky,56.2,55.7,53.4,1815843,1797212,3229185,3368684,2.2,21863,54511,14419,65173,,2012
Louisiana,60.8,60.2,57.0,2014548,1994065,3311626,3495847,2.7,40047,41298,28946,90881,,2012
Maine,69.3,68.2,67.0,724758,713180,1046008,1064779,1.8,0,0,0,0,,2012
Maryland,67.3,66.6,59.5,2734062,2707327,4063582,4553853,8.9,20871,96640,13195,85285,,2012
Massachusetts,66.2,65.9,60.2,3184196,3167767,4809675,5263550,8.4,10283,0,0,10283,,2012
Michigan,65.4,64.7,62.0,4780701,4730961,7312725,7625576,3.5,43019,0,0,43019,,2012
Minnesota,76.4,76.0,71.4,2950780,2936561,3861598,4114820,4.4,9383,108157,6006,72712,,2012
Mississippi,,59.3,57.2,,1285584,2166825,2246931,1.5,22305,30768,6804,45416,,2012
Missouri,,62.2,59.6,,2757323,4432957,4628500,2.5,30714,55470,20672,80785,,2012
Montana,63.5,62.5,61.6,491966,484048,774476,785454,0.9,3592,0,0,3592,,2012
Nebraska,61.1,60.3,56.9,804245,794379,1316915,1396507,4.7,4466,14260,1383,13407,,2012
Nevada,56.5,56.4,48.2,1016664,1014918,1800969,2105976,13.3,12883,11321,5379,24262,,2012
New Hampshire,70.9,70.2,67.8,718700,710972,1013420,1047978,3.0,2672,0,0,2672,,2012
New Jersey,62.2,61.5,53.2,3683638,3640292,5918182,6847503,12.1,21759,114886,14987,97636,,2012
New Mexico,54.8,54.6,49.8,786522,783757,1436363,1573400,7.3,6553,21381,5078,22963,,2012
New York,53.5,53.1,46.1,7128852,7074723,13324107,15344671,12.5,49889,0,46222,96111,,2012
North Carolina,65.4,64.8,60.1,4542488,4505372,6947954,7496980,6.1,35567,96070,4359,90843,,2012
North Dakota,60.4,59.8,58.7,325564,322627,539164,549955,1.7,1500,0,0,1500,,2012
Ohio,65.1,64.5,62.7,5632423,5580822,8649495,8896930,2.2,50313,0,0,50313,,2012
Oklahoma,,49.2,46.3,,1334872,2713268,2885093,4.5,25225,25506,2310,41053,,2012
Oregon,64.2,63.1,58.7,1820507,1789270,2836101,3050747,6.6,13607,0,0,13607,,2012
Pennsylvania,,59.5,57.2,,5742040,9651432,10037099,3.3,50054,0,0,50054,,2012
Rhode Island,,58.0,53.4,,446049,768918,834983,7.5,3249,0,0,3249,,2012
South Carolina,56.8,56.3,53.6,1981516,1964118,3486838,3662322,3.5,21895,34945,6116,46532,,2012
South Dakota,60.1,59.3,57.6,368270,363815,613190,631472,1.9,3574,0,2761,6335,,2012
Tennessee,52.3,51.9,49.4,2479733,2458577,4736084,4976284,3.3,28135,64430,13138,75421,,2012
Texas,,49.6,41.7,,7993851,16119973,19185395,13.5,157564,405473,112288,484753,,2012
Utah,56.1,55.5,51.4,1028786,1017440,1833339,1978956,7.0,6611,0,0,6611,,2012
Vermont,61.2,60.7,59.6,301793,299290,493355,502242,1.8,0,0,0,0,,2012
Virginia,66.6,66.1,60.7,3888186,3854489,5834676,6348827,7.1,36425,52956,1983,66475,,2012
Washington,65.8,64.8,58.6,3172939,3125516,4822060,5329782,8.2,16355,88339,8895,72070,,2012
West Virginia,,46.3,45.5,,670438,1447066,1472642,0.8,7052,8573,2052,13648,,2012
Wisconsin,73.3,72.9,69.5,3084115,3068434,4209370,4417273,3.2,21987,46328,20023,66564,,2012
Wyoming,59.0,58.6,56.4,250701,249061,425142,441726,2.5,2163,5162,762,5661,,2012
United States,36.7,36.0,33.2,83262122,81687059,227157964,245838140,8.3,1493706,2298993,548576,3329718,5345814,2014
Alabama,33.2,32.9,31.5,1191274,1180413,3588783,3738721,2.6,31691,53640,8097,69826,,2014
Alaska,54.8,54.2,51.0,285431,282382,520562,550837,3.9,5216,7077,2210,11389,,2014
Arizona,34.1,33.4,29.5,1537671,1506416,4510186,5119512,9.7,37516,73232,7502,86028,,2014
Arkansas,40.3,40.1,37.5,852642,848592,2117881,2262057,3.8,17756,28192,21743,55287,,2014
California,30.7,29.9,24.7,7513972,7317581,24440416,29677092,16.7,136088,0,87104,223192,,2014
Colorado,54.7,53.7,49.4,2080071,2041020,3800664,4127123,7.0,19121,0,10067,29188,,2014
Connecticut,42.5,42.3,38.5,1096556,1089880,2577311,2828562,8.2,16113,0,2564,18677,,2014
Delaware,34.9,34.3,31.8,238110,234038,681526,733971,5.6,6625,15665,676,16073,,2014
District of Columbia,35.7,35.3,32.0,177176,175071,495899,548623,9.2,0,0,0,0,,2014
Florida,43.3,42.8,37.6,6026802,5951561,13914216,15945404,10.5,95671,227087,4519,227359,,2014
Georgia,38.6,38.2,33.8,2596947,2567761,6725041,7629263,7.1,50499,471067,25547,339844,,2014
Hawaii,36.5,36.2,32.9,369554,366125,1012123,1112282,8.9,5721,0,0,5721,,2014
Idaho,39.8,39.3,36.5,445307,439830,1119882,1205335,4.6,7901,33450,4217,30850,,2014
Illinois,40.8,40.2,36.6,3680417,3627690,9028752,9895610,8.7,46465,0,0,46465,,2014
Indiana,28.7,27.8,26.7,1387622,1341814,4829510,5018794,3.7,28638,0,0,28638,,2014
Iowa,50.3,49.8,47.3,1142284,1129700,2269179,2381863,3.5,8686,29929,5769,31215,,2014
Kansas,43.3,42.5,39.8,887023,869502,2048164,2180860,5.3,9326,16328,4051,22521,,2014
Kentucky,44.9,44.2,42.2,1459409,1435868,3247300,3400898,2.5,21402,54107,16729,68431,,2014
Louisiana,44.9,43.9,41.5,1503975,1472039,3349433,3541411,2.8,37881,40979,29619,90448,,2014
Maine,58.7,58.1,57.0,616996,611255,1051557,1070535,1.7,0,0,0,0,,2014
Maryland,42.0,41.7,37.3,1745104,1733177,4154546,4631815,8.7,20388,79539,11537,76467,,2014
Massachusetts,44.7,44.1,40.2,2186789,2158326,4896296,5381878,8.7,10014,0,0,10014,,2014
Michigan,43.2,42.7,41.0,3188956,3156531,7383958,7696494,3.6,42900,0,0,42900,,2014
Minnesota,50.6,50.4,47.2,1992613,1981511,3935121,4179744,4.5,10003,97661,6642,71335,,2014
Mississippi,,29.0,27.9,,631858,2181131,2258047,1.7,18756,34398,9883,47902,,2014
Missouri,33.6,31.7,30.5,1509025,1426303,4493722,4670553,2.5,31432,47303,18495,76417,,2014
Montana,47.5,46.9,46.1,373831,369826,787748,797527,1.1,3681,0,0,3681,,2014
Nebraska,41.4,40.5,38.0,552115,539891,1334453,1416500,5.1,5221,12940,1067,13534,,2014
Nevada,29.6,29.3,25.2,552546,547349,1867644,2184884,12.5,12537,12027,5927,25199,,2014
New Hampshire,48.3,47.6,46.0,495565,488159,1025862,1063539,3.1,2867,0,0,2867,,2014
New Jersey,32.5,31.1,27.0,1955042,1869535,6014127,6940888,11.9,20255,115898,14889,100047,,2014
New Mexico,,35.4,32.3,,512805,1449503,1582259,7.4,6879,16060,2255,18128,,2014
New York,29.0,28.2,24.6,3930310,3819010,13553426,15569463,12.1,48376,0,44889,93265,,2014
North Carolina,41.2,40.8,37.9,2939767,2915281,7143737,7689105,5.9,35726,90918,10025,96665,,2014
North Dakota,45.0,43.8,42.7,255128,248670,567221,573831,2.2,1700,0,0,1700,,2014
Ohio,36.2,35.1,34.1,3149876,3055913,8701243,8961449,2.4,51024,0,0,51024,,2014
Oklahoma,30.0,29.9,28.1,825607,824831,2755091,2928877,4.6,27650,28568,2560,46208,,2014
Oregon,53.4,50.9,47.2,1541782,1469717,2887517,3118999,6.7,15075,0,0,15075,,2014
Pennsylvania,36.5,36.1,34.6,3535576,3495866,9689491,10092331,3.5,49643,0,0,49643,,2014
Rhode Island,42.4,41.7,38.5,329212,324055,776286,843570,7.3,3294,0,0,3294,,2014
South Carolina,35.2,34.8,33.1,1261611,1246301,3584461,3761320,3.4,20917,35096,5225,45796,,2014
South Dakota,44.7,44.3,43.1,282291,279412,630989,640622,2.2,3528,0,2611,6139,,2014
Tennessee,29.8,28.6,27.2,1430117,1374065,4799476,5061583,3.5,28495,62950,13498,77245,,2014
Texas,,28.3,23.8,,4727208,16675420,19958733,13.3,157361,388101,111412,486110,,2014
Utah,30.3,29.7,27.5,577973,565970,1905801,2048506,6.8,6824,0,0,6824,,2014
Vermont,40.8,38.9,38.1,202445,193087,495884,504186,2.2,0,0,0,0,,2014
Virginia,36.8,36.6,33.7,2194346,2184473,5962456,6467462,6.9,36943,54966,1732,69456,,2014
Washington,43.1,41.2,37.1,2124330,2029189,4928407,5479396,8.4,17345,94112,9880,79928,,2014
West Virginia,32.0,31.2,30.7,462864,451498,1447652,1465232,0.9,6873,7174,2749,13639,,2014
Wisconsin,56.9,56.6,53.9,2422248,2410314,4260427,4454970,3.1,22097,46212,20010,67986,,2014
Wyoming,39.7,39.0,37.3,171153,168390,431434,445626,2.7,2330,5196,715,5955,,2014
United States,60.1,59.2,54.7,138846571,136753936,230931921,250055734,8.3,1416810,2198907,506297,3176484,4739596,2016
Alabama,59.1,58.8,56.3,2134061,2123372,3609447,3770142,2.5,28680,52177,8562,66983,,2016
Alaska,61.5,61.0,57.4,321271,318608,522679,555367,4.1,4317,6621,1812,9903,,2016
Arizona,56.1,54.9,48.9,2661497,2604657,4740310,5331034,9.4,37582,77373,7500,89185,,2016
Arkansas,53.2,52.8,49.4,1137772,1130635,2140097,2286625,3.8,17242,30881,23792,58636,,2016
California,58.2,56.5,47.0,14610509,14181595,25104844,30201571,16.4,130390,0,0,130390,,2016
Colorado,71.9,70.0,64.6,2859216,2780247,3974405,4305728,7.0,18576,0,10186,28762,,2016
Connecticut,64.9,63.7,58.3,1675955,1644920,2582761,2821935,7.8,14475,0,3379,17854,,2016
Delaware,64.4,64.2,59.2,445228,443814,691720,749872,5.7,6254,15395,387,15416,,2016
District of Columbia,60.7,60.4,55.4,312575,311268,515248,562329,8.4,0,0,0,0,,2016
Florida,65.6,64.5,56.9,9580489,9420039,14601066,16565588,10.5,92847,214066,4566,219431,,2016
Georgia,59.8,59.1,52.6,4165405,4114732,6959963,7828207,7.2,51092,410964,22386,307727,,2016
Hawaii,43.2,42.3,38.3,437664,428937,1012860,1120465,9.1,5474,0,0,5474,,2016
Idaho,60.9,59.2,55.0,710545,690255,1166706,1253925,4.4,7949,32409,5054,31476,,2016
Illinois,63.1,62.2,56.7,5666118,5589631,8985443,9866799,8.5,42017,0,0,42017,,2016
Indiana,57.9,56.4,54.0,2807676,2734958,4849937,5063393,3.7,24948,0,0,24948,,2016
Iowa,69.1,68.4,65.1,1581371,1566031,2288536,2406915,3.6,8888,29254,6051,31614,,2016
Kansas,59.7,57.7,54.0,1225667,1184402,2054025,2192423,5.2,9613,16654,4830,23936,,2016
Kentucky,59.6,58.6,56.1,1955195,1924149,3282420,3430652,2.4,22868,48457,15383,65871,,2016
Louisiana,60.6,60.0,56.8,2049531,2029032,3384435,3571652,2.7,35543,40174,30907,89349,,2016
Maine,72.9,70.7,69.4,771892,747927,1058372,1078037,1.8,0,0,0,0,,2016
Maryland,67.0,66.4,59.5,2807322,2781446,4189616,4670900,8.8,19382,72529,10305,71029,,2016
Massachusetts,68.3,67.2,61.1,3378801,3325046,4948028,5442458,8.9,8780,0,0,8780,,2016
Michigan,65.7,64.7,62.0,4874619,4799284,7420628,7744567,3.7,40502,0,0,40502,,2016
Minnesota,74.7,74.1,69.4,2968281,2944813,3973204,4240423,4.6,10158,96852,7075,72439,,2016
Mississippi,,55.2,53.3,,1209357,2191241,2268089,1.4,19150,29067,8645,44363,,2016
Missouri,62.2,62.2,59.6,2811549,2808605,4517925,4710784,2.5,31956,43799,17792,74713,,2016
Montana,64.3,61.8,60.8,516901,497147,804250,817702,1.2,3795,0,0,3795,,2016
Nebraska,64.0,62.8,58.8,860573,844227,1343821,1436437,5.5,5079,13489,1088,13856,,2016
Nevada,57.4,57.4,49.4,1125429,1125385,1961587,2276281,12.6,13742,13724,5261,26826,,2016
New Hampshire,72.5,71.4,69.1,755850,744296,1042795,1076739,2.9,2818,0,0,2818,,2016
New Jersey,65.8,64.4,55.7,3957303,3874046,6013656,6959892,12.0,18504,140589,15128,113768,,2016
New Mexico,54.9,54.5,50.2,804043,798319,1464515,1591069,6.9,6914,12714,2780,16941,,2016
New York,57.2,56.8,49.6,7786881,7721453,13604645,15557982,12.0,46416,0,44426,90842,,2016
North Carolina,64.9,64.5,60.2,4769640,4741564,7352501,7880013,5.5,34357,82466,12726,94089,,2016
North Dakota,61.7,60.8,59.3,349945,344360,566783,581188,2.2,1791,0,0,1791,,2016
Ohio,64.2,62.9,61.0,5607641,5496487,8736808,9007953,2.4,51666,0,0,51666,,2016
Oklahoma,,52.3,49.0,,1452992,2778219,2965905,4.7,26691,33562,1895,47716,,2016
Oregon,68.0,66.2,61.7,2056310,2001336,3024174,3244277,6.3,15166,0,0,15166,,2016
Pennsylvania,,63.6,61.0,,6165478,9691160,10108486,3.7,48098,0,0,48098,,2016
Rhode Island,59.7,59.1,54.7,469589,464144,786012,848975,7.1,3038,0,0,3038,,2016
South Carolina,57.3,56.7,54.2,2123584,2103027,3709283,3883145,3.4,20350,32634,4347,43298,,2016
South Dakota,60.0,58.6,56.6,378995,370093,631173,653841,2.5,3744,0,2687,6431,,2016
Tennessee,51.8,51.1,48.6,2545271,2508027,4909426,5164969,3.5,27906,62609,12092,75685,,2016
Texas,51.4,51.4,43.4,8975000,8969226,17448910,20671564,13.3,155327,374285,111287,479956,,2016
Utah,57.9,56.8,52.8,1152369,1131430,1991885,2144784,6.9,5846,0,0,5846,,2016
Vermont,64.8,63.7,62.3,320467,315067,494871,506048,2.2,0,0,0,0,,2016
Virginia,,66.1,60.8,,3984631,6027152,6551390,6.9,36959,60821,1650,73277,,2016
Washington,65.7,64.7,58.3,3363440,3317019,5123020,5691833,8.6,18335,89317,11322,80568,,2016
West Virginia,,50.2,49.2,,714423,1423031,1453201,1.1,7137,6523,3550,14405,,2016
Wisconsin,,69.5,66.2,,2976150,4285071,4495783,3.2,22889,44489,20401,68649,,2016
Wyoming,60.2,59.5,57.3,258788,255849,429682,446396,2.4,2323,4666,842,5825,,2016
United States,50.0,49.4,54.7,118581921,117069210,237089672,255801552,7.9,1416810,2126035,494442,3264172,4793402,2018
Alabama,47.0,46.9,56.3,1721906,1719589,3666511,3820544,2.3,28680,52177,8562,66983,,2018
Alaska,54.8,54.5,57.4,285009,283134,519913,551451,3.9,4317,6621,1812,9903,,2018
Arizona,47.4,46.9,48.9,2409910,2384308,5082126,5678479,8.9,37582,77373,7500,89185,,2018
Arkansas,41.3,41.0,49.4,898793,891509,2176226,2321029,3.7,17242,30881,23792,58636,,2018
California,49.3,48.3,47.0,12712542,12464235,25782389,30659000,15.5,130390,0,0,130390,,2018
Colorado,61.4,60.0,64.6,2583580,2525062,4210816,4523289,6.3,18576,0,10186,28762,,2018
Connecticut,54.8,54.2,58.3,1421953,1406803,2597134,2838275,7.9,14475,0,3379,17854,,2018
Delaware,51.2,50.8,59.2,365467,362592,713781,772850,5.6,6254,15395,387,15416,,2018
District of Columbia,43.7,42.4,55.4,231482,224658,529560,578702,8.5,0,0,0,0,,2018
Florida,54.3,53.6,56.9,8318824,8220561,15333067,17321691,10.2,92847,214066,4566,219431,,2018
Georgia,54.1,53.9,52.6,3949905,3939328,7303056,8148933,6.6,51092,410964,22386,307727,,2018
Hawaii,39.5,38.7,38.3,398657,390843,1009561,1115620,9.0,5474,0,0,5474,,2018
Idaho,48.6,48.0,55.0,612536,605131,1260630,1350319,4.3,7949,32409,5054,31476,,2018
Illinois,51.5,50.8,56.7,4635541,4570842,8999121,9848647,8.2,42017,0,0,42017,,2018
Indiana,46.5,46.0,54.0,2308258,2282565,4960307,5176820,3.7,24948,0,0,24948,,2018
Iowa,57.9,57.6,65.1,1334279,1327638,2303627,2431107,3.9,8888,29254,6051,31614,,2018
Kansas,51.1,50.8,54.0,1060000,1055566,2076345,2215608,5.2,9613,16654,4830,23936,,2018
Kentucky,48.7,47.4,56.1,1612353,1569798,3310636,3468416,2.6,22868,48457,15383,65871,,2018
Louisiana,45.1,43.4,56.8,1519405,1460585,3367670,3560271,2.9,35543,40174,30907,89349,,2018
Maine,59.9,58.8,69.4,646013,634409,1078321,1097650,1.8,0,0,0,0,,2018
Maryland,54.2,53.5,59.5,2335128,2304512,4311082,4715595,8.2,19382,0,0,19382,,2018
Massachusetts,54.6,53.7,61.1,2752665,2707090,5037366,5546390,9.0,8780,0,0,8780,,2018
Michigan,57.7,56.5,62.0,4341340,4250585,7519962,7849909,3.7,40502,0,0,40502,,2018
Minnesota,64.2,63.8,69.4,2611365,2596879,4070605,4347041,4.7,10158,96852,7075,72439,,2018
Mississippi,43.8,42.7,53.3,961025,936215,2193563,2278027,1.8,19150,29067,8645,44363,,2018
Missouri,53.3,53.3,59.6,2442306,2442289,4583152,4773831,2.4,31956,43799,17792,74713,,2018
Montana,61.3,60.7,60.8,509213,504384,830480,843058,1.0,3795,0,0,3795,,2018
Nebraska,51.5,50.9,58.8,706652,698417,1372894,1461220,5.1,5079,13489,1088,13856,,2018
Nevada,46.5,46.3,49.4,975980,972132,2099842,2403374,11.5,13742,13724,5261,26826,,2018
New Hampshire,54.0,53.3,69.1,580568,573608,1075753,1107322,2.6,2818,0,0,2818,,2018
New Jersey,53.5,52.2,55.7,3248642,3169310,6074050,6945711,10.9,18504,140589,15128,113768,,2018
New Mexico,46.8,46.5,50.2,701654,696459,1498900,1624253,6.7,6914,12714,2780,16941,,2018
New York,45.7,44.8,49.6,6230959,6104477,13620990,15412110,11.0,46416,0,44426,90842,,2018
North Carolina,49.0,48.2,60.2,3755778,3693104,7663854,8222687,5.7,34357,82466,12726,94089,,2018
North Dakota,58.7,57.9,59.3,330598,326138,562854,582571,3.1,1791,0,0,1791,,2018
Ohio,50.9,50.2,61.0,4496834,4429582,8832187,9119467,2.6,51666,0,0,51666,,2018
Oklahoma,42.1,41.9,49.0,1190000,1186385,2828577,3011498,4.5,26691,33562,1895,47716,,2018
Oregon,61.2,59.7,61.7,1914923,1866997,3126630,3364847,6.6,15166,0,0,15166,,2018
Pennsylvania,51.7,51.4,61.0,5043029,5012555,9745275,10172074,3.7,48098,0,0,48098,,2018
Rhode Island,47.5,47.0,54.7,381267,376738,802033,855526,5.9,3038,0,0,3038,,2018
South Carolina,44.5,44.0,54.2,1726527,1707569,3881840,4057306,3.3,20350,32634,4347,43298,,2018
South Dakota,53.1,52.8,56.6,341048,339214,642257,669423,3.1,3744,0,2687,6431,,2018
Tennessee,44.7,44.2,48.6,2267428,2243740,5073296,5337147,3.5,27906,62609,12092,75685,,2018
Texas,45.6,45.6,43.4,8375000,8371655,18377841,21711618,13.1,155327,374285,111287,479956,,2018
Utah,50.6,49.8,52.8,1082972,1065630,2140159,2291926,6.4,5846,0,0,5846,,2018
Vermont,55.7,54.8,62.3,278230,274087,499907,510397,2.1,0,0,0,0,,2018
Virginia,54.4,54.3,60.8,3363505,3351373,6177626,6687863,6.5,36959,60821,1650,73277,,2018
Washington,58.3,57.4,58.3,3133448,3086168,5373202,5981386,8.8,18335,89317,11322,80568,,2018
West Virginia,42.5,41.7,49.2,597149,586034,1404206,1429959,0.8,7137,6523,3550,14405,,2018
Wisconsin,61.4,61.4,66.2,2675000,2673308,4354527,4563564,3.1,22889,44489,20401,68649,,2018
Wyoming,47.9,47.4,57.3,205275,203420,428898,445747,2.5,2323,4666,842,5825,,2018
United States,66.6,66.0,,159738337,158407854,239924038,258339023,7.8,1461074,1962811,616440,3294457,,2020
Alabama,61.8,61.8,,2325000,2323282,3761001,3917288,2.3,25898,50997,10266,67782,,2020
Alaska,68.4,68.1,,361400,359530,528180,553820,3.4,4293,2074,1348,6927,,2020
Arizona,68.6,68.0,,3420585,3387054,4984557,5574070,8.9,38520,76844,7536,93699,,2020
Arkansas,56.5,56.3,,1223675,1219069,2166787,2315001,3.6,17510,36719,24698,64974,,2020
California,68.6,67.5,,17785151,17500881,25917882,30730598,15.0,104730,0,102586,207316,,2020
Colorado,77.6,76.7,,3295666,3256980,4246895,4525319,5.7,18905,0,0,18905,,2020
Connecticut,70.7,69.3,,1861086,1824280,2632351,2871003,7.7,13268,0,4452,17720,,2020
Delaware,70.1,69.5,,509241,504346,725994,786622,5.8,5874,14176,350,15013,,2020
District of Columbia,65.8,65.4,,346491,344356,526607,566909,7.1,0,0,0,0,,2020
Florida,72.3,71.8,,11144855,11067456,15404801,17379930,10.1,91674,205033,4345,223139,,2020
Georgia,68.2,67.9,,5023159,4999960,7364716,8234938,6.6,50930,416771,20426,329754,,2020
Hawaii,55.7,55.2,,579784,574469,1041039,1150905,9.1,5007,0,0,5007,,2020
